description
vliegend foerageren
zangvluchten maken
trillen met staart
vliegend in water duiken
geheel onder water duiken
over boomstam lopen
op zand of gras lopen in binnenland
op zand of gras lopen aan kust
(bijna) stilstaand foerageren
te horen, maar niet te zien
