dutch_name;color;behavior;shape;habitat;when_to_spot;rarity;characteristics;image_credit;image_author_reference;image_wikimedia_source;image_license;image_license_url
flamingo;;9;;;Gehele jaar;;;Yathin S Krishnappa;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
fluiter;7;;;3;Zomerhalfjaar;;;Steve Garvie;;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
frater;4;;;9;Winterhalfjaar;;;Mike Pennington;www.geograph.org.uk;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
fuut;;5;10;2&6&10;Gehele jaar;;;JJ Harrison;www.jjharrison.com.au;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
gaai;8&13;;10;1&2;Gehele jaar;1;;Luc Viatour;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
geelgors;10;;;3;Gehele jaar;;;Malene Thyssen;http://commons.wikimedia.org/wiki/User:Malene;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
geelpootmeeuw;;;4;;Nazomer en herfst;;;;;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
gekraagde roodstaart;11&12;3;;2;Zomerhalfjaar;;;Thomas Kraft (ThKraft);;;CC BY-SA 2.5;https://creativecommons.org/licenses/by-sa/2.5/
gele kwikstaart;10;3;11;4;Zomerhalfjaar;;;Andreas Trepte;;;CC BY-SA 2.5;https://creativecommons.org/licenses/by-sa/2.5/
geoorde fuut;;5;10;10;Gehele jaar;;;Marek Szczepanek;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
giervalk;1;;;;Winter;4;;;;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
gierzwaluw;2;1;9;2;Zomerhalfjaar;1;;Falciot #2;www.flickr.com/photos/7686882@N08/4560391937/;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
glanskop;6;;;1&3;Gehele jaar;;;;;;;
goudhaan;7&10;;;3;Gehele jaar;;;Francis Franklin;https://commons.wikimedia.org/wiki/User:Baresi_franco;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
goudplevier;;7&8;;;Winterhalfjaar;;;MPF;https://commons.wikimedia.org/wiki/User:MPF;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
goudvink;11&12;;;2&3;Gehele jaar;;;Francis Franklin;https://commons.wikimedia.org/wiki/User:Baresi_franco;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
grasmus;6;2;;4&7;Zomerhalfjaar;1;;Andreas Trepte;http://photo-natur.de/;;CC BY-SA 2.5;https://creativecommons.org/licenses/by-sa/2.5/
graspieper;4;2;;4;Gehele jaar;;;Andreas Trepte;http://photo-natur.de/;;CC BY-SA 2.5;https://creativecommons.org/licenses/by-sa/2.5/
graszanger;4;2;;9;Gehele jaar;;;Anton Croos;https://commons.wikimedia.org/wiki/User:Anton_17;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
grauwe franjepoot;;;;8;Zomerhalfjaar;;;Andreas Trepte;http://photo-natur.net/;;CC BY-SA 2.5;https://creativecommons.org/licenses/by-sa/2.5/
grauwe gans;;;7;;Gehele jaar;;;DaniKauf;https://de.wikipedia.org/wiki/benutzer:DaniKauf;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
grauwe kiekendief;;;2;;Zomerhalfjaar;4;;Cks3976;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
grauwe klauwier;12&14;1;11;3;Zomerhalfjaar;;;Antonios Tsaknakis;https://commons.wikimedia.org/wiki/User:Birding_around;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
grauwe pijlstormvogel;;;;10;Winterhalfjaar;;;JJ Harrison;https://www.jjharrison.com.au;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
grauwe vliegenvanger;6;1;;2&4;Zomerhalfjaar;;;Martin Mecnarowski;http://www.photomecan.eu;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
