type
witte of bijna geheel witte vogels
zwarte of bijna geheel zwarte vogels
zwart-witte vogels
bruine of bijna geheel bruine kleine vogels
bruine of bijna geheel bruine (middel)grote vogels
bruin-witte vogels
groene en grijze vogels
kleurrijke vogels
vogels met opvallende witte, grijze of blauwe onderdelen
vogels met opvallende gele onderdelen
vogels met opvallende rode of roodbruine onderdelen
vogels met een oranje, rode of roze borst
vogels met een witte stuit
vogels met een zwart masker, snor of baard
